"UID","Title","PublicationDate"
"7828857","new phage display system to construct multicombinatorial libraries of very large antibody repertoires","1994 Dec 30"
"7811250","rapid grouping of hiv 1 infection in subtypes a to e by v3 peptide serotyping and its relation to sequence analysis","1994 Dec 30"
"7710197","dissemination of hiv how serious is it for women medically and psychologically","1994 Dec 30"
"7746847","croonian lecture 1994 populations infectious disease and immunity a very nonlinear world","1994 Dec 29"
"7990243","survival and disease progression according to gender of patients with hiv infection the terry beirn community programs for clinical research on aids","1994 Dec 28"
"7822837","evaluation of alternative cd4 technologies for the enumeration of cd4 lymphocytes","1994 Dec 28"
"7831561","the abused and neglected child in switzerland","1994 Dec 27"
"7845658","thymostimulin in clinical practice","1994 Dec 25"
"7530843","mechanism of inhibition of hiv 1 infection in vitro by guanine rich oligonucleotides modified at the 5 terminal by dimethoxytrityl residue","1994 Dec 25"
"7808528","rhodococcus equi pneumonia in patients with immunodeficiency","1994 Dec 24"
"7799406","bioactive fullerene peptide","1994 Dec 23"
"7798208","biochemical mechanism of hiv 1 vpr function oligomerization mediated by the n terminal domain","1994 Dec 23"
"7736929","sinusitis in hiv infection","1994 Dec 23"
"7990217","cost effectiveness of voluntary counseling and testing of hospital inpatients for hiv infection","1994 Dec 21"
"7990202","from the centers for disease control and prevention update trends in aids diagnosis and reporting under the expanded surveillance definition for adolescents and adults united states 1993","1994 Dec 21"
"7869736","defective escape mutants of hiv","1994 Dec 21"
"7809152","sleep patterns are disturbed in cats infected with feline immunodeficiency virus","1994 Dec 20"
"7809077","infection of vaginal and colonic epithelial cells by the human immunodeficiency virus type 1 is neutralized by antibodies raised against conserved epitopes in the envelope glycoprotein gp120","1994 Dec 20"
"7707076","chronic inflammatory demyelinating polyneuropathy histological and immunopathological studies on biopsied sural nerves","1994 Dec 20"
"12288270","latest figures on infection rates in indonesia released","1994 Dec 19"
"12288269","awareness of hiv results in increased condom sales","1994 Dec 19"
"12288268","australia to fund hiv aids projects in southeast asia","1994 Dec 19"
"12288267","hiv claims 22 lives in china and 10 000 may be infected","1994 Dec 19"
"7839539","a good hiv vaccine is not enough","1994 Dec 19"
"7839528","human t lymphotrophic virus type i and ii diagnosis and clinical presentation","1994 Dec 19"
"7996968","renewed un drive against aids","1994 Dec 17"
"7996954","hiv testing in prison what s the controversy","1994 Dec 17"
"7899317","non toxic corynebacterium diphtheriae septicemia with endocarditis in an earlier healthy adult first case and review of the literature","1994 Dec 17"
"7899316","serum concentrations of circulating endogenous granulocyte macrophage colony stimulating factor in hiv 1 seropositive injecting drug users","1994 Dec 17"
"7819934","heart muscle disease related to hiv infection prognostic implications","1994 Dec 17"
"12166385","tuberculosis cdc pushes for sterner measures to protect health care workers","1994 Dec 16"
"12166384","aids epidemic is expanding but pace is slower cdc says","1994 Dec 16"
"12166378","drug abuse study says clean drug needles cut hiv infections in half","1994 Dec 16"
"8001468","secondary neoplasia after immunosuppression","1994 Dec 16"
"7998594","sexually transmitted diseases sexual behavior and cocaine use in inner city women","1994 Dec 15"
"7994041","changes in cytokine secretion patterns of cd4 t cell clones in human immunodeficiency virus infection","1994 Dec 15"
"7994020","interleukin 12 a cytokine produced by antigen presenting cells with immunoregulatory functions in the generation of t helper cells type 1 and cytotoxic lymphocytes","1994 Dec 15"
"7990937","un aids chief will mobilize commitment","1994 Dec 15"
"7989780","repertoire of cytotoxic t lymphocytes in the recognition of mutant simian immunodeficiency virus variants","1994 Dec 15"
"7989778","carboxyl terminal region of hiv 1 nef protein is a cell surface domain that can interact with cd4 t cells","1994 Dec 15"
"7989775","macrophage function in simian aids killing defects in vivo are independent of macrophage infection associated with alterations in th phenotype and reversible with ifn gamma","1994 Dec 15"
"7856618","federal task force advises on zidovudine use during pregnancy","1994 Dec 15"
"7802674","antigen antibody specificity exchanger a new peptide based tool for re directing antibodies of other specificities to recognize the v3 domain of hiv 1 gp120","1994 Dec 15"
"7705465","triaminopyridine flupirtine prevents cell death in rat cortical cells induced by n methyl d aspartate and gp120 of hiv 1","1994 Dec 15"
"7534677","cd3 cd56 non mhc restricted cytotoxic t lymphocytes in two fraternal aids patients a case report","1994 Dec 15"
"7529174","productive hiv 1 infection of macrophages restricted to the cell fraction with proliferative capacity","1994 Dec 15"
"7527449","il 10 is induced during hiv 1 infection and is capable of decreasing viral replication in human macrophages","1994 Dec 15"
"10140475","hiv aids a lost clause","1995 Jan 5"
"12345806","women s issues worldwide they face greatest hiv risk","1994 Dec 12"
"7993160","tolerability safety and acceptability of zidovudine prophylaxis in health care workers","1994 Dec 12-26"
"7984002","world bank warns of aids economic threat","1994 Dec 10"
"7899312","hiv seronegative human immunodeficiency syndrome","1994 Dec 10"
"7899303","cutaneous atypical mycobacterium infection with hematogenic dissemination","1994 Dec 10"
"7861840","treatment and prevention of main infections associated with hiv","1994 Dec 10"
"7819891","does symptomatic primary hiv 1 infection accelerate progression to cdc stage iv disease cd4 count below 200 x 10 6 l aids and death from aids","1994 Dec 10"
"10172349","dentists responses to drug misusers","1995"
"10160541","rational suicide reconsidered aids as an impetus for change","1995 Jan-Feb"
"10159892","care for aids orphans in uganda findings from focus group discussions","1995"
"10159891","impact of aids on marriage patterns customs and practices in uganda","1995"
"10156422","tuberculosis emergency in africa opportunities and strategies for action","1995"
"10154507","accessing an understudied population in behavioral hiv aids research low income african american women","1995"
"10152453","aids judaism and the limits of the secular society","1995 Jan"
"10150463","comparison of three rapid test kits for detection of human immunodeficiency virus in blood","1995 Jan-Feb"
"10139319","aids case emphasizes need for universal precautions","1995 Jan"
"7992047","could drugs rather than a virus be the cause of aids","1994 Dec 9"
"7992046","epidemic in thailand","1994 Dec 9"
"7992039","thailand to test controversial vaccine","1994 Dec 9"
"7991618","chemiluminescent activation of the antiviral activity of hypericin a molecular flashlight","1994 Dec 6"
"7991540","type 1 type 2 cytokine modulation of t cell programmed cell death as a model for human immunodeficiency virus pathogenesis","1994 Dec 6"
"7801010","pulmonary infectious complications in hiv disease","1994 Dec 6"
"7830629","premature mortality in australia 1983 1992 the first decade of the aids epidemic","1994 Dec 5-19"
"7997862","addison crisis due to bilateral adrenal gland histoplasmosis","1994 Dec 3"
"7983969","differences in heterosexual transmission of hiv 1 and hiv 2","1994 Dec 3"
"7831265","kaposi s disease in a female patient with acquired hiv negative immunodeficiency","1994 Dec 3"
"7831262","prevention of pneumocystis carinii pneumonia associated with hiv infection using pentamidine aerosols retrospective study of 465 cases","1994 Dec 3"
"7799685","cd4 lymphocytes and opportunistic infections and neoplasms in patients infected with the human immunodeficiency virus","1994 Dec 3"
"7799684","cd4 lymphocytes and opportunistic infections and neoplasms in patients infected with the human immunodeficiency virus","1994 Dec 3"
"7799678","the usefulness of different markers in the diagnosis of advanced hiv infection","1994 Dec 3"
"7983380","cross reactivity of monoclonal antibodies to a chimeric v3 peptide of hiv 1 with peptide analogues studied by biosensor technology and elisa","1994 Dec 2"
"7982975","binding of immobilized igg2a to fc gamma 2a receptor activates nf kappa b via reactive oxygen intermediates and tumor necrosis factor alpha 1","1994 Dec 2"
"7969007","sexual behaviors and drug use among youth in dropout prevention programs miami 1994","1994 Dec 2"
"12319130","aids and journalism trying to tell too clear a story","1994 Dec"
"12319129","aids and journalism infinitely tougher job","1994 Dec"
"12319128","making aids prevention a national priority","1994 Dec"
"12319127","aids and journalism the old but bigger question of ethics","1994 Dec"
"12319124","why isn t increased survival enough","1994 Dec"
"12319045","barrier methods serve dual purpose","1994 Dec"
"12319044","std services in family planning programs","1994 Dec"
"12319043","empowering women may help retard hiv","1994 Dec"
"12319038","africa or ta project ii supporting studies in several countries","1994 Dec"
"12318954","power lifting people meeting the population challenge","1994 Dec"
"11361377","oral zinc supplementation in the treatment of hiv infected children","1994 Dec"
"11361376","lack of association between anti v3 loop antibodies and perinatal transmission of hiv 1 in kampala uganda","1994 Dec"
"11361375","reduced immunoglobulin kappa lambda light chain ratio in perinatally hiv 1 infected children","1994 Dec"
"11361374","treatment options and care of hiv infected pregnant women","1994 Dec"
"8002350","aids treatment costs during the last months of life evidence from the acsus","1994 Dec"
"8002348","correlates of medical service utilization among people with hiv infection","1994 Dec"
"8002271","hiv 2 infection in israel a new epidemic","1994 Dec"
"7998654","three year follow up of an hiv risk reduction intervention that used popular peers","1994 Dec"
"7998653","condom use and risk factors for hiv 1 infection among female commercial sex workers in thailand","1994 Dec"
"7998650","policies of containment immigration in the era of aids","1994 Dec"
"7998649","anonymous hiv testing the impact of availability on demand in arizona","1994 Dec"
"7998648","extramarital sex and hiv risk behavior among us adults results from the national aids behavioral survey","1994 Dec"
"7998647","hiv infection risk behaviors and depressive symptoms among puerto rican sex workers","1994 Dec"
"7998646","changes in insurance status and access to care for persons with aids in the boston health study","1994 Dec"
"7998645","predicting the effect of the oregon health plan on medicaid coverage for outpatients with hiv","1994 Dec"
"7998644","decline in hiv infected needles returned to new haven s needle exchange program client shift or needle exchange","1994 Dec"
