UID,Title,PublicationDate
19115306,chemoselective capture of glycans for analysis on gold nanoparticles carbohydrate oxime tautomers provide functional recognition by proteins,2009
19115219,viral dynamics of hepatitis b virus dna in human immunodeficiency virus 1 hepatitis b virus coinfected individuals similar effectiveness of lamivudine tenofovir or combination therapy,2009 Apr
19115133,dual lentivirus infection potentiates neuroinflammation and neurodegeneration viral copassage enhances neurovirulence,2009 Apr
19114877,atherothrombosis and the management of the vulnerable vascular patient,2009 Jan-Feb
19114868,levels of innate immune factors in genital fluids association of alpha defensins and ll 37 with genital infections and increased hiv acquisition,2009 Jan 28
19114867,hiv 1 infection of human penile explant tissue and protection by candidate microbicides,2009 Jan 28
19114865,costs and effectiveness of four hiv counseling and testing strategies in uganda,2009 Jan 28
19114864,epidemiology of nonkeratinocytic skin cancers among persons with aids in the united states,2009 Jan 28
19114859,risk factors for hiv incidence in women participating in an hsv suppressive treatment trial in tanzania,2009 Jan 28
19114858,hiv prevalence and risk behaviour among men who have sex with men in vientiane capital lao people s democratic republic 2007,2009 Jan 28
19114856,delayed loss of control of plasma lipopolysaccharide levels after therapy interruption in chronically hiv 1 infected patients,2009 Jan 28
19114855,efficacy and tolerability of initial antiretroviral therapy a systematic review,2009 Jan 28
19114688,highly active antiretroviral therapy and the incidence of non aids defining cancers in people with hiv infection,2009 Feb 20
19114673,antiretroviral concentrations in breast feeding infants of mothers receiving highly active antiretroviral therapy,2009 Mar
19114397,regional clustering of anthropometric dimensions of primary school children in rural and suburban vietnam,2008
19114380,difference in condom use among sexually active males at historically black colleges and universities,2009 Jan-Feb
19114320,venous malformations of the limbs the birmingham experience comparisons and classification in children,2010 Mar
19114009,microrna profile changes in human immunodeficiency virus type 1 hiv 1 seropositive individuals,2008 Dec 29
19113986,detection of hiv type 1 load by the roche cobas taqman assay in patients with viral loads previously undetectable by the roche cobas amplicor monitor,2009 Jan 15
19113978,development of a panel of well characterized human immunodeficiency virus type 1 isolates from newly diagnosed patients including acute and recent infections,2009 Jan
19113949,benefits risk and uncertainty preferences of antiretroviral na ve african americans for hiv treatments,2009 Jan
19113040,gay community to test hiv prevention pill,2008 Sep
19112805,porcine filler for facial lipoatrophy associated with human immunodeficiency virus treatment,2008 Sep
19112690,economic analysis of hiv prevention interventions in andhra pradesh state of india to inform resource allocation,2009 Jan 14
19112504,hiv 1 infection of bone marrow hematopoietic progenitor cells and their role in trafficking and viral dissemination,2008 Dec
19111872,proceedings of a joint meeting between the norwegian society of infectious diseases and the royal society of tropical medicine and hygiene oslo 20 june 2008,2009 Apr
19111788,social behavioral and health care factors associated with recent hiv testing among sexually active non hispanic black women in the united states,2009 Jan-Feb
19111783,facility based maternal death review in three districts in the central region of malawi an analysis of causes and characteristics of maternal deaths,2009 Jan-Feb
19111144,drug resistant herpes simplex virus in hiv infected patients,2008
19110919,comorbidities and challenges affecting african americans with hiv infection,2008 Dec
19110913,immunity to measles in pregnant mothers and in cord blood of their infants impact of hiv status and mother s place of birth,2008 Dec
19110909,sociodemographic factors predict early discontinuation of hiv non nucleoside reverse transcriptase inhibitors and protease inhibitors,2008 Dec
19110908,disparities in the patterns and determinants of hiv risk behaviors among adolescents entering substance abuse treatment programs,2008 Dec
19110687,time to step up hiv testing in women,2008 Dec
19110685,working with homeless shelters to expand reach model works in other settings as well,2008 Dec
19110637,canine models of gene modified hematopoiesis,2009
19110631,detection of replication competent retrovirus and lentivirus,2009
19110626,in situ in vivo gene transfer into murine bone marrow stem cells,2009
19110625,lentiviral vector mediated genetic programming of mouse and human dendritic cells,2009
19110623,dna transposons for modification of human primary t lymphocytes,2009
19110622,lentiviral vector gene transfer into human t cells,2009
19110619,short term culture of human cd34 cells for lentiviral gene transfer,2009
19110315,prevalence of c terminal gag cleavage site mutations in hiv from therapy na ve patients,2009 Jan
19110288,hiv 1 viral load monitoring an opportunity to reinforce treatment adherence in a resource limited setting in thailand,2009 Jun
19110017,activity of tar in inducible inhibition of hiv replication by foamy virus vector expressing sirnas under the control of hiv ltr,2009 Mar
19109791,cancer cohort consortium approach cancer epidemiology in immunosuppressed groups,2009
19109439,role for the host coatomer and kdel receptor in early vaccinia biogenesis,2009 Jan 6
19109396,regulation of apobec3 proteins by a novel yxxl motif in human immunodeficiency virus type 1 vif and simian immunodeficiency virus sivagm vif,2009 Mar
19109381,reduced viral replication capacity of human immunodeficiency virus type 1 subtype c caused by cytotoxic t lymphocyte escape mutations in hla b57 epitopes of capsid protein,2009 Mar
19109380,efficient replication of human immunodeficiency virus type 1 in resting cd4 t lymphocytes is induced by coculture with autologous dendritic cells in the absence of foreign antigens,2009 Mar
19109200,citrullination of cxcl12 differentially reduces cxcr4 and cxcr7 binding with loss of inflammatory and anti hiv 1 activity via cxcr4,2009 Jan 1
19109148,ccr5 expression levels influence nfat translocation il 2 production and subsequent signaling events during t lymphocyte activation,2009 Jan 1
19109001,treatment of oral thrush in hiv aids patients with lemon juice and lemon grass cymbopogon citratus and gentian violet,2009 Mar
19108994,anti hiv drugs 25 compounds approved within 25 years after the discovery of hiv,2009 Apr
19108987,cross cohort heterogeneity encountered while validating a model for hiv disease progression among antiretroviral initiators,2009 Jul
19108857,cerebromediastinal tuberculosis in a child with a probable say barber miller syndrome a causative link,2009 Dec
19108725,sex between men in the context of hiv the aids 2008 jonathan mann memorial lecture in health and human rights,2008 Dec 24
19108694,genotypic characterization of crf01 ae env genes derived from human immunodeficiency virus type 1 infected patients residing in central thailand,2009 Feb
19108692,cervical hiv specific iga in a population of commercial sex workers correlates with repeated exposure but not resistance to hiv,2009 Jan
19107966,ltr real time pcr for hiv 1 dna quantitation in blood cells for early diagnosis in infants born to seropositive mothers treated in haart area anrs co 01,2009 Feb
19107862,antiretroviral activity of fucoidans extracted from the brown seaweed adenocystis utricularis,2009 May
19107234,glioblastoma inhibition by cell surface immunoglobulin protein ewi 2 in vitro and in vivo,2009 Jan
19107206,distinct genetic loci control plasma hiv rna and cellular hiv dna levels in hiv 1 infection the anrs genome wide association 01 study,2008
19106740,comparison of two va laboratory data repositories indicates that missing data vary despite originating from the same source,2009 Jan
19106702,recent developments in hiv and the kidney,2009 Feb
19106657,human papillomavirus related diseases in hiv infected individuals,2008 Sep
19106656,evolving epidemiology of malignancies in hiv,2008 Sep
19106653,malignancies in hiv the indian scenario,2008 Sep
19106431,improving engagement in hiv care what can we do,2008 Dec
19106430,methicillin resistant staphylococcus aureus infections,2008 Dec
19106304,glyconanoparticles allow pre symptomatic in vivo imaging of brain disease,2009 Jan 6
19106143,a rich rna sequences of hiv 1 pol are important for the synthesis of viral cdna,2009 Feb
19106071,apolipoprotein e structure determines function from atherosclerosis to alzheimer s disease to aids,2009 Apr
19105879,prevalence of anti tuberculosis drug resistance in an hiv aids reference hospital in rio de janeiro brazil,2009 Jan
19105878,simple screening tool for active tuberculosis in hiv infected adults receiving antiretroviral treatment in uganda,2009 Jan
19105873,providing hiv care for co infected tuberculosis patients a perspective from sub saharan africa,2009 Jan
19105834,extensive purifying selection acting on synonymous sites in hiv 1 group m sequences,2008 Dec 23
19105690,gender differences in hiv risk behaviors of inmates,2009 Jan-Feb
19105365,analysis of fracture conditions and therapeutic experiences of earthquake casualties,2008 Oct
19105353,overexpression purification of recombinant hiv 1 gp41 protein and detection of hiv antibody in urine,2008 Aug
19105347,dynamic variation of hiv 1 crf07 bc env gene in early hiv 1 infection,2008 Aug
19105345,study on t cell subsets in hiv aids patients,2008 Aug
19104990,cd4 count and physical symptoms among urban african american mothers with hiv an examination of the role of optimism and depressive symptoms,2008 Dec
19104976,repeat hiv testing and hiv transmission risk behaviors among sexually transmitted infection clinic patients,2008 Jun
19104700,liver enlargement associated with opportunistic infections in patients with human immunodeficiency virus infection,2008 Dec
19104517,cardiac manifestations of hiv infection an african perspective,2009 Feb
19104356,effect of highly active antiretroviral therapy on human papillomavirus clearance and cervical cytology,2009 Jan
19104018,mutations at embb codon 306 are an important molecular indicator of ethambutol resistance in mycobacterium tuberculosis,2009 Mar
19104010,preclinical evaluation of gs 9160 a novel inhibitor of human immunodeficiency virus type 1 integrase,2009 Mar
19103907,stopping hiv aids can china succeed,2009 Jan
19103906,unhealthy attempts by cdc and who to deny the importance of hiv transmission through unsafe health care,2009 Jan
19103901,can the stigma of sexually transmitted infections affect the reported route of transmission by patients from particular sociocultural groups,2009 Jan
19103897,anglian genitourinary medicine audit group cervical cytology screening in hiv positive women,2009 Jan
19103896,hiv opt out increases hiv testing in low risk patients,2009 Jan
19103895,introduction of a nurse led sexual health service for hiv positive men,2009 Jan
19103894,delay in the diagnosis of early syphilis among men who have sex with men need for greater community and health provider education,2009 Jan
19103893,cost effectiveness of voluntary hiv screening in russia,2009 Jan
19103892,general hygiene sexual risk behaviour and hiv prevalence in truck drivers from andhra pradesh south india implications for prevention interventions,2009 Jan
19103891,agreement in self reported personal risk factor information collected by different modes in mongolia,2009 Jan
19103890,can a clinical prediction tool guide hiv testing decisions experience at a national hospital in guatemala,2009 Jan
19103889,trial of the validity of genital smears and cultures with gonococcal vaccine provocation in diagnosing genital gonorrhoea in women,2009 Jan
19103887,treatment of asymptomatic rectal chlamydia trachomatis is single dose azithromycin effective,2009 Jan
19103885,condom use in the year following a sexually transmitted disease clinic visit,2009 Jan
19103884,web based forums for clients of female sex workers development of a german internet approach to hiv std related sexual safety,2009 Jan
19103883,how does hiv impact on non aids events in the era of haart,2009 Jan
19103715,humanizing hiv aids and its re stigmatizing effects hiv public positive speaking in india,2009 Jan
19103713,fear complacency and the spectacle of risk the making of hiv as a public concern in australia,2009 Jan
19103117,research on the selective kinetics of hiv 1 nucleoside reverse transcriptase inhibitor drug resistance associated mutations among 4 aids patients receiving highly active antiretroviral therapy,2008 Aug
19103115,study on the threshold of hiv 1 drug resistance in hunan province,2008 Aug
19102769,relationship between total lymphocyte count tlc and cd4 count among peoples living with hiv southern ethiopia a retrospective evaluation,2008 Dec 22
19102765,symptom experience of people living with hiv and aids in the eastern cape south africa,2008 Dec 22
19102742,traditional indian medicine and homeopathy for hiv aids a review of the literature,2008 Dec 22
19102687,prevalence of nevirapine associated resistance mutations after single dose prophylactic treatment among antenatal clinic attendees in north rift kenya,2008 Dec
19102686,fetal allostimulation of maternal cells a potential mechanism for perinatal hiv transmission following obstetrical hemorrhage,2008 Dec
