UID,Title,PublicationDate,PublicationYear
24371825,hiv related high risk behaviors and willingness to participate in hiv vaccine trials among china msm by computer assisted self interviewing survey,2013,2013
24371542,diagnosis and management of cryptococcal relapse,2013 Apr 29,2013
24371535,case of cutaneous plasmablastic lymphoma in hiv aids with disseminated cryptococcus,2013,2013
24371237,limited hiv 1 superinfection in seroconverters from the caprisa 004 microbicide trial,2014 Mar,2014
24371062,developing high throughput hiv incidence assay with pyrosequencing platform,2014 Mar,2014
24370963,whoonga and the abuse and diversion of antiretrovirals in soweto south africa,2014 Jul,2014
24370933,atazanavir and lopinavir profile in pregnant women with hiv tolerability activity and pregnancy outcomes in an observational national study,2014 May,2014
24370930,site specific structural variations accompanying tubular assembly of the hiv 1 capsid protein,2014 Mar 6,2014
24370480,immunologic predictors of coronary artery calcium progression in a contemporary hiv cohort,2014 Mar 27,2014
24370116,transcriptome analysis of primary monocytes from hiv positive patients with differential responses to antiretroviral therapy,2013 Dec 27,2013
24369910,hiv 1 envelope replication and 4 7 utilization among newly infected subjects and their corresponding heterosexual partners,2013 Dec 26,2013
24369908,survival on antiretroviral treatment among adult hiv infected patients in nepal a retrospective cohort study in far western region 2006 2011,2013 Dec 26,2013
24369739,antiretroviral treatment and quality of life in africans living with hiv 12 month follow up in burkina faso,2013 Dec 18,2013
24369587,development and study of structure activity relationship of drugs against mycobacterium tuberculosis,2013,2013
24369538,circulation of hiv 1 crf02 ag among msm population in central italy a molecular epidemiology based study,2013,2013
24369526,nonadherence factors and sociodemographic characteristics of hiv infected adults receiving antiretroviral therapy in nnamdi azikiwe university teaching hospital nnewi nigeria,2013,2013
24369433,using standardized patients to evaluate hospital based intervention outcomes,2014 Jun,2014
24369409,paradigm of universal access to hiv treatment and human rights violation how do we treat hiv positive people who use drugs,2014 Mar,2014
24369354,persistence of vrc01 resistant hiv 1 during antiretroviral therapy,2014 Jan,2014
24369352,10e8 like neutralizing antibodies against hiv 1 induced using a precisely designed conformational peptide as a vaccine prime,2014 Jan,2014
24369327,acute upper gastrointestinal bleeding secondary to kaposi sarcoma as initial presentation of hiv infection,2013 Dec,2013
24369092,outcome assessment of a triangular clinic as a harm reduction intervention in rajaee shahr prison iran,2013 Dec 26,2013
24368930,primary prophylaxis for cryptococcal meningitis and impact on mortality in hiv a systematic review and meta analysis,2013 Sep,2013
24368839,reply to groner et al and pei et al,2014 Apr 15,2014
24368717,physician nonadherence with a hepatitis c screening program,2014 Jan-Mar,2014
24368712,when sex work becomes your everything the complex linkages between economy and affection among male sex workers in peru,2014 Sep,2014
24368620,effect of hiv related immunosuppression on the risk of tuberculosis transmission to household contacts,2014 Mar,2014
24368468,changes in testing for human immunodeficiency virus sexually transmitted infections and hepatitis c virus in opioid treatment programs,2013 Dec 25,2013
24368170,mycothiol a promising antitubercular target,2014 Feb,2014
24367912,retention in psychiatric treatment in a canadian sample of hiv positive women,2014,2014
24367701,upregulation of innate antiviral restricting factor expression in the cord blood and decidual tissue of hiv infected mothers,2013,2013
24367678,incidence of paradoxical tuberculosis associated immune reconstitution inflammatory syndrome and impact on patient outcome,2013,2013
24367653,perceptions of health health care and community oriented health interventions in poor urban communities of kinshasa democratic republic of congo,2013,2013
