"","V1","V2"
"39570632","oncological outcomes of patients with oral potentially malignant disorders","2024 Nov 21"
"39570588","hearing intervention and health related quality of life in older adults a secondary analysis of the achieve randomized clinical trial","2024 Nov 4"
"39570581","clinical demographic and histopathological characteristics of individuals with kaposi s sarcoma and living with hiv in mexico","2024 Nov 4"
"39570576","estimating adult mortality based on maternal orphanhood in populations with hiv aids","2024 Nov 21"
"39570517","accelerated cognitive aging in chronically infected hiv 1 positive individuals despite effective long term antiretroviral therapy","2024 Nov 21"
"39570329","sex differences in metabolic disorders of aging and obesity in people with hiv","2024 Nov 21"
"39570250","cost effectiveness of implementation facilitation to promote emergency department initiated buprenorphine for opioid use disorder","2024 Nov 20"
"39570204","providing quality family planning services in the united states recommendations of the u s office of population affairs revised 2024","2024 Nov 15"
"39570195","vesicular stomatitis virus as a platform for protease activity measurements","2024 Nov"
"39570084","hiv mortality trends in mexico 2000 2022","2024 Nov 4"
"39570045","effect of metronidazole on concentrations of vaginal bacteria associated with risk of hiv acquisition","2024 Nov 21"
"39569985","comparison of basic lymphocyte phenotype results between a diagnostic and a research laboratory","2024 Nov 21"
"39569923","finite element modelling of atomic force microscopy imaging on deformable surfaces","2024 Nov 21"
"39569765","seroprevalence of hepatitis c in ethiopia first national study based on the 2016 ethiopian demographic and health survey","2024 Nov 21"
"39569743","photocatalytic achmatowicz rearrangement on triphenylbenzene dimethoxyterephthaldehyde covalent organic framework mo for converting biomass derived furfuryl alcohol to hydropyranone","2024 Nov 21"
"39569696","high prevalence of osteoporosis among virally suppressed older people 60 years living with hiv","2024 Nov 21"
"39569488","it ll save your lungs early insights into nicotine pouch use and perceptions among young australians","2024 Dec 1"
"39569372","bnt162b2 mrna vaccine demonstrates reduced age associated t h 1 support in vitro and in vivo","2024 Nov 15"
"39569358","diagnostic utility of immunofluorescence in oral lesions a systematic review","2024 Jul-Sep"
"39569305","long term patient satisfaction and surgical outcomes with sophono implants a single institution experience","2024 Oct"
"39569296","analyzing knowledge status and hiv linkage to care insights from america s hiv epidemic analysis dashboard ahead national database","2024 Oct"
"39569269","successful biological treatment of a patient with psoriasis and hiv","2024 Oct"
"39569255","retrospective cross sectional study of clinical profile of hiv patients at a tertiary care hospital in western part of maharashtra","2024 Oct"
"39569247","factors associated with needle stick injuries among healthcare workers a retrospective study in a tertiary care hospital of eastern india","2024 Oct"
"39569225","report of a rare case of a solitary ring enhancing lesion in a patient with positive toxoplasma serology","2024 Oct"
"39569196","gene expression of tight junctions in foreskin is not affected by hiv pre exposure prophylaxis","2024"
"39569191","net en treatment leads to delayed hsv 2 infection enhanced mucin and t cell functions in the female genital tract when compared to dmpa in a preclinical mouse model","2024"
"39569129","synthesis crystal structure and antiviral evaluation of new imidazopyridine schiff base derivatives in vitro and in silico anti hiv studies","2024 Nov 19"
"39569127","recent studies on protein kinase signaling inhibitors based on thiazoles review to date","2024 Nov 19"
"39569087","artificial intelligence prompted explanations of common primary care diagnoses","2024"
"39569046","impact of hearing loss and restricted access to care on the karen people living in a conflict setting near the thai burma border","2024"
"39569018","exposure to the antiretroviral drug dolutegravir impairs structure and neurogenesis in a forebrain organoid model of human embryonic cortical development","2024"
"39568962","neuroimaging features in eclamptic encephalopathy and their correlation with clinical and laboratory parameters a prospective observational study","2024 Oct"
"39568790","women s experiences and acceptability of self administered home delivered intravaginal 5 fluorouracil cream for cervical precancer treatment in kenya","2024 Nov 9"
"39568680","decoding the impact of ai on microsurgery systematic review and classification of six subdomains for future development","2024 Nov"
"39568664","novel bias reduced coherence measure for eeg based speech tracking in listeners with hearing impairment","2024"
"39568658","early mortality and health care costs in patients recently diagnosed with kaposi sarcoma at the national cancer institute mexico city","2024 Nov"
"39568617","acceptability feasibility and appropriateness of the b ok bottles as an implementation strategy for treatment adherence support by medical case managers","2024"
"39568605","availability and readiness of public health facilities to provide differentiated service delivery models for hiv treatment in zambia implications for better treatment outcomes","2024"
"39568596","amides of moronic acid and morolic acid with the tripeptides mag and gam targeting antimicrobial antiviral and cytotoxic effects","2024 Oct 29"
"39568580","investigation on improving immunologic reconstitution insufficiency using diwuyanggan capsules in aids patients","2024"
"39568472","datadesc a framework for creating and sharing technical metadata for research software interfaces","2024 Nov 8"
"39568168","learning from the first a qualitative study of the psychosocial benefits and treatment burdens of long acting cabotegravir rilpivirine among early adopters in three u s clinics","2024 Nov"
"39568160","high retention among key populations initiated on hiv pre exposure prophylaxis in kigali city rwanda","2024 Nov"
"39568147","management of detected syphilis in pregnancy adheres to guideline recommendations but the crisis of congenital syphilis persists","2024 Nov 20"
"39568118","outcomes after a virological failure to first line second generation insti based therapy in a real life setting","2024 Nov 21"
"39567958","traditional complementary and alternative medicine tcam use among plhiv on antiretroviral medication","2024 Nov 20"
"39567937","utilization of modern contraception and determinants among hiv positive women in ethiopia a systematic review and meta analysis","2024 Nov 20"
"39567884","hiv phylogenetic clusters point to unmet hiv prevention testing and treatment needs among men who have sex with men in kenya","2024 Nov 20"
"39567718","spatially resolved single cell atlas unveils a distinct cellular signature of fatal lung covid 19 in a malawian population","2024 Nov 20"
"39567644","realistic dual task listening while balancing in older adults with normal hearing and hearing loss with and without hearing aids","2024 Nov 20"
"39567602","impaired noise adaptation contributes to speech intelligibility problems in people with hearing loss","2024 Nov 20"
"39567541","transcription regulation of african swine fever virus dual role of m1249l","2024 Nov 20"
"39567276","penetrating aerodigestive injuries and the role of computed tomography esophagography","2024 Nov 9"
"39567222","comparing short term mortality between people with and without hiv admitted to the intensive care unit a single centre matched cohort study 2000 2019","2024 Nov 20"
"39567203","clinical characteristics and optical coherence tomography features of ocular toxoplasmosis inhiv positive patients report 1","2024 Nov 20"
"39567103","point of care ultrasound of the urinary tract","2025 Jan"
"39567093","integrated multi organ ultrasound","2025 Jan"
"39567081","response to the co 2 concentrating mechanisms and transcriptional time series analysis of ulva prolifera under inorganic carbon limitation","2024 Nov"
"39567068","defining algal bloom phenology in lake erie","2024 Nov"
