UID,Title,PublicationDate,PublicationYear
11132073,prevalence of human immunodeficiency virus hiv antibody in critically ill emergency patients in gij n spain,2000 Jun,2000
11131740,nutritional factors and vertical transmission of hiv 1 epidemiology and potential mechanisms,2000 Nov,2000
11131739,role of antiretrovirals and drug resistance in vertical transmission of hiv 1 infection,2000 Nov,2000
11131738,genital tract infections and perinatal transmission of hiv,2000 Nov,2000
11131737,subclinical chorioamnionitis as a targetable risk factor for vertical transmission of hiv 1,2000 Nov,2000
11131734,cost effectiveness of a single dose nevirapine regimen to mother and infant to reduce vertical hiv 1 transmission in sub saharan africa,2000 Nov,2000
11131733,prevention of perinatal hiv infection what do we know where should future research go,2000 Nov,2000
11131732,prevention of ill health in children born to hiv positive women,2000 Nov,2000
11131730,measles infection in hiv infected african infants,2000 Nov,2000
11131729,t helper cell responses among hiv infected children in soweto south africa,2000 Nov,2000
11131726,impact of chemotherapy for aids related malignancies in pediatric hiv disease,2000 Nov,2000
11131725,global strategies for the prevention of hiv transmission from mothers to infants,2000 Nov,2000
11131723,immunologic and virologic outcome of a multitreated cohort of 78 hiv infected children,2000 Nov,2000
11131722,factors with a negative influence on compliance to antiretroviral therapies,2000 Nov,2000
11131721,factors impacting on drug choices issues for developing countries,2000 Nov,2000
11131719,gene therapy for pediatric aids,2000 Nov,2000
11131718,immunotherapy for pregnant women and newborns,2000 Nov,2000
11131717,human immunodeficiency virus an epidemic without precedent,2000 Nov,2000
11131716,antiretroviral pharmacology in pregnant women and their newborns,2000 Nov,2000
11131715,advances in pediatric aids introduction,2000 Nov,2000
11131714,advances in antiretroviral immune based and gene therapy for hiv infection in mothers and infants implications for future use in developing countries,2000 Nov,2000
11131712,incorporation of zidovudine into cord blood dna of infants and peripheral blood dna of their hiv 1 positive mothers,2000 Nov,2000
11131711,comparison of genetic mitochondrial disease and nucleoside analogue toxicity does fetal nucleoside toxicity underlie reports of mitochondrial disease in infants born to women treated for hiv infection,2000 Nov,2000
11131709,drug safety during pregnancy and in infants lack of mortality related to mitochondrial dysfunction among perinatally hiv exposed children in pediatric hiv surveillance,2000 Nov,2000
11131708,role of nongovernmental organizations in the prevention and care of hiv disease in women and children it makes a difference,2000 Nov,2000
11131707,lack of evidence of mitochondrial dysfunction in the offspring of hiv infected women retrospective review of perinatal exposure to antiretroviral drugs in the perinatal aids collaborative transmission study,2000 Nov,2000
11131706,evaluating the safety of interventions for prevention of perinatal transmission of hiv,2000 Nov,2000
11131705,future directions for nih supported pediatric aids research,2000 Nov,2000
11131704,organizational approaches to the hiv aids crisis,2000 Nov,2000
11131703,achievable standard of care in low resource settings,2000 Nov,2000
11131701,orphans and hiv the second wave of the hiv epidemic,2000 Nov,2000
11131700,best of times and the worst of times implications of scientific advances in hiv prevention for women in the developing world,2000 Nov,2000
11131699,mastitis and transmission of human immunodeficiency virus through breast milk,2000 Nov,2000
11131697,influence of infant feeding patterns on early mother to child transmission of hiv 1 in durban south africa,2000 Nov,2000
11131696,psychosocial and community perspectives on alternatives to breastfeeding,2000 Nov,2000
11131695,breast milk transmission of hiv 1 laboratory and clinical studies,2000 Nov,2000
11131694,cesarean section delivery to prevent vertical transmission of human immunodeficiency virus type 1 associated risks and other considerations,2000 Nov,2000
11131688,national trends of aids and hiv in canada,2000 Dec 1,2000
11131360,growth hormone treatment of children with human immunodeficiency virus associated growth failure,2000 Dec,2000
11131038,bovine immunodeficiency virus in experimentally infected rabbit tropism for lymphoid and nonlymphoid tissues,2001 Jan,2001
11130598,relationship between psychosocial factors and condom use among african american adolescents,2000 Autumn,2000
11130536,aids activists win battle drug war continues,2000 Dec 9,2000
11130534,child prostitution and the spread of aids,2000 Dec 9,2000
11130397,authorities fiddle while hiv burns in south africa,2000 Dec 2,2000
11130376,why should hepatitis c affect immune reconstitution in hiv 1 infected patients,2000 Dec 2,2000
11130317,issues facing tb control 6 tuberculosis control in sub saharan africa in the face of hiv and aids,2000 Oct,2000
11130311,issues facing tb control 3 1 tuberculosis in prisons,2000 Oct,2000
11130308,tb across the globe 6 the tuberculosis situation in zambia,2000 Oct,2000
11130305,tb across the globe 3 tuberculosis in russia,2000 Oct,2000
11130222,coinfection with hiv and hcv more questions than answers,2000 Dec,2000
11130191,tuberculosis in the elderly,2000 Oct,2000
11130080,vaccine centres unite specialists in the battle against infectious diseases,2000 Dec 7,2000
11130033,us puts global collaboration at heart of aids effort,2000 Dec 7,2000
11129928,hiv infection and international travel,2000 Apr,2000
11129910,recent advances in improved tuberculosis vaccines,2000 Feb,2000
11129908,tuberculosis with human immunodeficiency virus infection,2000 Feb,2000
11129544,impact of antiretroviral therapy in mortality of chilean hiv patients a case control study,2000 Aug,2000
11129443,in situ strand displacement amplification an improved technique for the detection of low copy nucleic acids,2000 Dec,2000
11129354,infant birth weight among women with or at high risk for hiv infection the impact of clinical behavioral psychosocial and demographic factors,2000 Nov,2000
11129222,clinical significance of hepatitis c virus infection to alcoholics with cirrhosis in korea,2000 Nov,2000
11128862,joint position statement nutrition and athletic performance american college of sports medicine american dietetic association and dietitians of canada,2000 Dec,2000
11128560,moraxella catarrhalis pneumonia during hiv disease,2000 Oct,2000
11127968,vitamin a and hiv infection disease progression mortality and transmission,2000 Oct,2000
11127757,gastric tuberculosis endoscopic cytology as a diagnostic tool,2000 Nov-Dec,2000
11127745,asymptomatic pulmonary cryptococcosis diagnosed on fine needle aspiration cytology a case report,2000 Nov-Dec,2000
11127724,world aids day aids men make a difference,2000 Nov 24,2000
11127611,depressive symptoms reduced in individuals with hiv aids treated with highly active antiretroviral therapy a longitudinal study,2000 Dec,2000
11127370,how safe are our safe donors,1999 Oct,1999
11127327,human immunodeficiency virus type 1 subtypes among malaysian intravenous drug users,2000 Jun,2000
11127020,nation in pain why the hiv aids epidemic is out of control in zimbabwe,2000,2000
11126997,youth and tattoos what school health personnel should know,2000 Nov,2000
11126887,state of the state of the state s health report,2000 Nov,2000
11126687,ethics of placebo controlled trials in developing countries to prevent mother to child transmission of hiv,2000 Sep,2000
11126432,nutritional alterations associated with hiv infection,2000 Oct 1,2000
11126430,cognitive function in hiv 1 infected drug users,2000 Oct 1,2000
11126425,metabolic disorders among hiv infected patients treated with protease inhibitors a review,2000 Oct 1,2000
11126424,growth failure in children with hiv infection,2000 Oct 1,2000
11126423,acute and long term effects of aids and injection drug use on gonadal function,2000 Oct 1,2000
11126421,oxidative stress in hiv 1 infected injection drug users,2000 Oct 1,2000
11125908,chimpanzee rhadinovirus sequence related to kaposi s sarcoma associated herpesvirus human herpesvirus 8 increased detection after hiv 1 infection in the absence of disease,2000 Dec 1,2000
11125906,treatment of nucleoside reverse transcriptase inhibitor induced lactic acidosis,2000 Dec 1,2000
11125905,recent increase in diagnoses of hiv infections based on surveillance system data in belgium,2000 Dec 1,2000
11125904,selective expansion of a minor proportion of drug resistant hiv 1 by antiretroviral pressure in vitro,2000 Dec 1,2000
11125903,switch from indinavir to ritonavir indinavir regimen in patients treated with highly active antiretroviral therapy co infected with hepatitis c is not associated with alteration of liver function tests,2000 Dec 1,2000
11125902,no drug drug interaction between nelfinavir or indinavir and mefloquine in hiv 1 infected patients,2000 Dec 1,2000
11125900,acceleration of confirmed coronary artery disease among hiv infected patients on potent antiretroviral therapy,2000 Dec 1,2000
11125897,effect of influenza vaccination on disease progression among hiv infected persons,2000 Dec 1,2000
11125896,syndrome packets and health worker training improve sexually transmitted disease case management in rural south africa randomized controlled trial,2000 Dec 1,2000
11125895,hiv infection and silicosis the impact of two potent risk factors on the incidence of mycobacterial disease in south african miners,2000 Dec 1,2000
11125894,feasibility of pooling sera for hiv 1 viral rna to diagnose acute primary hiv 1 infection and estimate hiv incidence,2000 Dec 1,2000
11125892,explosive spread and effective control of human immunodeficiency virus in northernmost thailand the epidemic in chiang rai province 1988 99,2000 Dec 1,2000
11125891,symptomatic hyperlactataemia an emerging complication of antiretroviral therapy,2000 Dec 1,2000
11125890,calculation and use of an hiv 1 disease progression score,2000 Dec 1,2000
11125889,immunolocalization of hiv envelope gp120 in hiv encephalitis with dementia,2000 Dec 1,2000
11125888,normalization of anti cryptococcal activity and interleukin 12 production after highly active antiretroviral therapy,2000 Dec 1,2000
11125887,direct role of plasma membrane expressed gp120 41 in toxicity to human astrocytes induced by hiv 1 infected macrophages,2000 Dec 1,2000
11125886,marked immunosuppressive effects of the hiv 2 envelope protein in spite of the lower hiv 2 pathogenicity,2000 Dec 1,2000
11125885,chemokine rantes promoter polymorphism affects risk of both hiv infection and disease progression in the multicenter aids cohort study,2000 Dec 1,2000
11125884,impact of tnfalpha ltalpha fc gammarii and complement receptor on hiv 1 trapping in lymphoid tissue from hiv infected patients,2000 Dec 1,2000
11125882,rapid restoration of cd4 t cell subsets in subjects receiving antiretroviral therapy during primary hiv 1 infection,2000 Dec 1,2000
11125881,cellular restoration in hiv infected persons treated with abacavir and a protease inhibitor age inversely predicts naive cd4 cell count increase,2000 Dec 1,2000
11125503,hiv epidemic and the state of its surveillance in ethiopia,2000 Oct,2000
11125337,knowledge and attitudes of health care professionals with respect to aids and the risk of occupational transmission of hiv in 2 moroccan hospitals,2000 Sep-Oct,2000
11125229,acinetobacter infections in patients with human immunodeficiency virus infection microbiological and clinical epidemiology,2001 Jan-Feb,2001
11125184,investigation of diarrhea in aids,2000 Dec,2000
11125167,characterization of chimeric enzymes between caprine arthritis encephalitis virus maedi visna virus and human immunodeficiency virus type 1 integrases expressed in escherichia coli,2001 Jan,2001
11124847,visual demonstration of hepatitis c virus specific memory cd8 t cell expansion in patients with acute hepatitis c,2001 Jan,2001
11124837,outcome of hospital care of liver disease associated with hepatitis c in the united states,2001 Jan,2001
11124425,mitotic activation a convergent mechanism for a cohort of neurodegenerative diseases,2000 Nov-Dec,2000
11124280,changing spectrum of rheumatic disease in human immunodeficiency virus infection,2000 Dec,2000
11123451,clinical trial clotrimazole troche vs itraconazole oral solution in the treatment of oral candidosis in aids patients,2000 Nov,2000
11123354,persistence of infectious hiv on follicular dendritic cells,2001 Jan 1,2001
11123053,non hiv retroviral associations with rheumatic disease,2000 Apr,2000
11122923,substance abuse treatment for high risk adolescents,1999 Dec,1999
