"Title","PublicationDate","Year"
"the worldwide aids epidemic and the role of danida in the international control work","1990 Dec 31",1990
"detection of surface and cytoplasmic cd4 on blood monocytes from normal and hiv 1 infected individuals","1990 Dec 31",1990
"response to comments by professor barandun and doctor m hr as well as to the editorial of professor straub concerning the article hiv epidemic a study among practitioners in vaud by g meystre augustoni g van melle j p chave j martin n billo m p glauser and p francioli schweiz med wschr 1990 120 1390 1393","1990 Dec 29",1990
"aids testing of doctors is crux of thorny debate","1990 Dec 27",1990
"prevention of nosocomial hiv infection in the soviet union an international responsibility","1990 Dec 27",1990
"when the doctor gets infected medical workers who harbor the aids virus may face new rules","1991 Jan 14",1990
"prognosis concerning hiv infection and aids epidemic in the netherlands based on mathematical analysis","1990 Dec 22",1990
"the prospective course of the aids epidemic in the netherlands according to farr s law","1990 Dec 22",1990
"aids vaccine hope and despair","1990 Dec 22-29",1990
"preliminary report protection of cynomolgus macaques against simian immunodeficiency virus by fixed infected cell vaccine","1990 Dec 22-29",1990
"treatment of acute respiratory insufficiency in aids","1990 Dec 21",1990
"don t give aids a mainline ticket","1990 Dec 20-1991 Jan 9",1990
"heterosexual transmission of hiv in hemophiliacs","1990 Dec 17",1990
"hiv and surgeons","1990 Dec 15",1990
"survival of hiv positive patients hospitalized in intensive care for respiratory insufficiency and pneumocystis carinii pneumonia","1990 Dec 15",1990
"identification of a soluble il 2 receptor beta chain from human lymphoid cell line cells","1990 Dec 15",1990
"antibody dependent cellular cytotoxicity against hiv coated target cells by peripheral blood monocytes from hiv seropositive asymptomatic patients","1990 Dec 15",1990
"quantitative analysis of serum il 6 and its correlation with increased levels of serum il 2r in hiv induced diseases","1990 Dec 15",1990
"national aids strategy is a start nothing more","1990 Dec 15",1990
"aids risk to health care workers","1990 Dec 15",1990
"primary central nervous system lymphoma in a pediatric patient with acquired immune deficiency syndrome treatment with radiation therapy","1990 Dec 15",1990
"treatment of cryptococcal meningitis in aids","1990 Dec 15",1990
"partner notification for hiv control","1990 Dec 15",1990
"non tropical pyomyositis in germany","1990 Dec 15",1990
"hiv infection in the edinburgh haemophiliac cohort","1990 Dec 15",1990
"progression of hiv infection in misusers of injected drugs who stop injecting or follow a programme of maintenance treatment with methadone","1990 Dec 15",1990
"targeting of antiviral drugs to t4 lymphocytes anti hiv activity of neoglycoprotein aztmp conjugates in vitro","1990 Dec 15",1990
"novel membrane bound serine esterase in human t4 lymphocytes immunologically reactive with antibody inhibiting syncytia induced by hiv 1 purification and characterization","1990 Dec 15",1990
"no evidence for hiv 2 infection in uganda","1990 Dec 15",1990
"us and them reality and fantasy with hiv","1990 Dec 15",1990
"hepatitis c quantification and sequencing in blood products haemophiliacs and drug users","1990 Dec 15",1990
"evidence by peptide mapping that the region cd4 81 92 is involved in gp120 cd4 interaction leading to hiv infection and hiv induced syncytium formation","1990 Dec 15",1990
"the hiv antibody test in the differential diagnosis of infectious mononucleosis","1990 Dec 14",1990
"broadly neutralizing antibodies elicited by the hypervariable neutralizing determinant of hiv 1","1990 Dec 14",1990
"down modulation of hiv 1 gene expression using a procaryotic rna binding protein","1990 Dec 11",1990
"treatment of severe anaemia with perfluorocarbon blood substitutes a clinical overview","1991",1990
"hiv roundtable strategies to enhance professional awareness and involvement part ii","1991 Jan",1990
"panel sees no need to revise hiv practices","1991 Jan",1990
"provision for assistance in communication scoring guidelines intents and score 1s for the 1991 amh management and administrative services chapter","1991 Jan-Feb",1990
"model of care for the hospital treatment of individuals with hiv infection","1991",1990
"prevalence of hiv infection and cost of medical follow up for asymptomatic seropositive patients followed in general practice in france","1991",1990
"aids prevention and college students male and female responses to fear provoking messages","1991",1990
"disclosure of aids test results stirs mixed reactions","1991 Jan-Feb",1990
"ama endorses aids test reporting","1990 Dec 10",1990
"doctor s aids death renews debate on who should know","1990 Dec 8",1990
"the re introduction of sulfadiazine in aids","1990 Dec 8",1990
"the prevention of opportunistic infections in patients infected with the human immunodeficiency virus","1990 Dec 8",1990
"postherpetic vasculopathy a study of 3 cases in immunosuppressed patients","1990 Dec 8",1990
"guidelines for preventing the transmission of tuberculosis in health care settings with special focus on hiv related issues","1990 Dec 7",1990
"report on national hiv seroprevalence surveys","1990 Dec 7",1990
"clinical and pathological features of bacillary peliosis hepatis in association with human immunodeficiency virus infection","1990 Dec 6",1990
"agent of bacillary angiomatosis an approach to the identification of uncultured pathogens","1990 Dec 6",1990
"no t cell tyrosine protein kinase signalling or calcium mobilization after cd4 association with hiv 1 or hiv 1 gp120","1990 Dec 6",1990
"crystallization of the fab from a human monoclonal antibody against gp 41 of human immunodeficiency virus type i","1990 Dec 5",1990
"hiv testing policies of us hospitals","1990 Dec 5",1990
"world aids day facing the challenge of complacency on aids","1990 Dec 5-11",1990
"evidence for direct effect of hiv on brain","1990 Dec 5-11",1990
"exotic and the mundane human immunodeficiency virus in haiti","1990 Dec",1990
"neurosyphilis 53 cases","1990 Dec",1990
"sexually transmitted infections increasing 250 million new infections annually","1990 Dec",1990
"contraception and interaction among dutch boys and girls","1990 Dec",1990
"language discrimination of general physicians aids metaphors used in the aids crisis","1990 Dec",1990
"aids open line","1990 Dec-Jan",1990
"symptomatic polyneuropathy in human immunodeficiency virus antibody seropositive men with and without immune deficiency a comparative electrophysiological study","1990 Dec",1990
"aids precautions in hospitals costing more than estimated","1990 Dec",1990
"hiv and aids in european prisons","1990 Dec",1990
"smack in the eye for standard drugs and hiv education","1990 Dec",1990
"drug use injecting practices and sexual behaviour of opioid users in sydney australia","1990 Dec",1990
"practical business of treatment 13 providing health care for drug users","1990 Dec",1990
"potential therapeutic applications of pha l4 the mitogenic isolectin of phytohemagglutinin","1990 Dec",1990
"acquired immunodeficiency syndrome aids the child and the mother","1990 Dec",1990
"adolescents attitudes towards aids precautions and intention to use condoms","1990 Dec",1990
"examination of change in reports of aids related knowledge and attitudes in 1986 and 1988","1990 Dec",1990
"institute of medical ethics working party report hiv infection the ethics of anonymised testing and of testing pregnant women","1990 Dec",1990
"hiv clinical tutorial for community mental health professionals","1990 Dec",1990
"prevalence and epidemiologic features of subjects found to be infected with hiv when donating blood cts of the retrovirus study group of the soci t nationale de transfusion sanguine","1990 Dec",1990
"neopterin a marker for activation of cellular immunity","1990 Dec",1990
"imogene king s theory a nursing case study of a psychotic client with human immunodeficiency virus infection","1990 Dec",1990
"preventing and treating human immunodeficiency virus infection in the homeless","1990 Dec",1990
"chronic schizophrenia a risk factor for hiv","1990 Dec",1990
"burst sheaths","1990 Dec",1990
"challenges of hiv vaccine development","1990 Dec",1990
"modern haemophilia treatment medical improvements and quality of life","1990 Dec",1990
"sexually transmitted diseases in leprosy patients in north and northeastern india a futile search for human immunodeficiency virus antibody","1990 Dec",1990
"effects of an aids education program on the knowledge attitudes and practices of low income black and latina women","1990 Dec",1990
"antifusion activity in sera from persons infected with human immunodeficiency virus type 1","1990 Dec",1990
"long term study of aids focuses on disease progression and therapeutic alternatives","1990 Dec",1990
"is it possible for aids to be transmitted by acupuncture treatment","1990 Dec",1990
"pathogenesis and pathophysiology of meningitis","1990 Dec",1990
"aids government strategy suicidal","1990 Dec",1990
"fda urges caution in use of spring loaded lancets","1990 Dec",1990
"flash visual evoked responses in the early encephalopathy of chronic liver disease","1990 Dec",1990
"interaction of complement with hiv 1 and candida albicans molecular mechanisms and biological implications","1990 Dec",1990
"liposomes modulate human immunodeficiency virus infectivity","1990 Dec",1990
"position paper the hiv infected healthcare worker the association for practitioners in infection control the society of hospital epidemiologists of america","1990 Dec",1990
"hospital based routine hiv testing programs","1990 Dec",1990
"we cannot afford an aids epidemic","1990 Dec 1",1990
"too many ethical committees","1990 Dec 1",1990
"hiv infection risk to nonhealth care workers","1990 Dec",1990
"hiv infection risk to health care workers","1990 Dec",1990
