UID,Title,PublicationDate,PublicationYear
12463035,management of sexually transmitted diseases by the syndrome approach and voluntary hiv screening in a specialized dispensary in antananarivo madagascar,2000,2000
12295873,papua new guinea using drama to target risky behaviours,2000,2000
12295871,fiji aids education among youth at the grassroots,2000,2000
12295870,papua new guinea png correctional service hiv aids and std programme,2000,2000
12174851,metaphors of aids from around asia,2000,2000
12017627,occupational needlestick injuries,2000,2000
12002814,oral candidal infections and antimycotics,2000,2000
11833174,putting third first opening statement,2000,2000
11764461,hiv epidemic in intravenous drug users is finland behind or ahead of other western countries,2000,2000
11741217,pharmacokinetics of nevirapine and lamivudine in patients with hiv 1 infection,2000,2000
11737362,what are the perceived advantages and disadvantages of non nucleoside reverse transcriptase inhibitors as first line therapy,2000,2000
11737361,why switch from protease inhibitors pi to non nucleoside reverse transcriptase inhibitors nnrti,2000,2000
11737360,simplification is it sufficient,2000,2000
11713830,dna priming and recombinant pox virus boosters for an aids vaccine,2000,2000
11713828,cytokine induced augmentation of dna vaccine elicited siv specific immunity in rhesus monkeys,2000,2000
11713825,regulation and review of dna vaccine products,2000,2000
11713819,engineering of dna vaccines using molecular adjuvant plasmids,2000,2000
11713807,dna vaccine protection against challenge with simian human immunodeficiency virus 89 6 in rhesus macaques,2000,2000
11706704,catalytic activity of antibody light chain to gp41 a consideration of refolding in relation to activation mechanism,2000,2000
11512326,hematopoietic stem cell transplantation in the new millennium report from city of hope national medical center,2000,2000
11501427,characterization of the third generation enzyme immunoassay iea hiv1 2 iii for the detection of anti hiv specific antibodies in human sera,2000,2000
11484803,change point model for reporting delays under change of aids case definition,2000,2000
11484798,high frequency of the hiv 1 protective ccr5 delta32 deletion in native estonians,2000,2000
11484293,case of an hiv patient with advanced form of perianal hidradenitis,2000,2000
11459001,dopamine activates hiv in chronically infected t lymphoblasts,2000,2000
11452841,demand characteristics of residential substance abuse treatment programs,2000,2000
11450119,vertical transmission of hiv infection risk factors and prevention strategies,2000,2000
11450022,effects of brain oedema in the measurement of ischaemic brain damage in focal cerebral infarction,2000,2000
11436702,low prevalence of autoimmune antiphospholipid antibodies in hepatic diseases,2000,2000
11436588,cerebromeningeal listeriosis associated with a cytolytic hepatitis first case report in senegal,2000,2000
11424807,risk of materno fetal transmission of the hiv infection with antiretroviral therapy and cesarean section experience of the parma group,2000,2000
11421474,prevalence and incidence of bloodborne viral infections among danish prisoners,2000,2000
11414459,angiostrongyliasis analysis of antigens of angiostrongylus costaricensis adult worms versus igg from infected patients with angiostrongylus cantonensis,2000,2000
11414454,neurocysticercosis utilizing the cystic fluid antigen from taenia solium metacestodes for diagnosis by igg elisa,2000,2000
11414443,clinical presentations and outcomes of tb among hiv positive patients,2000,2000
11401046,re validation and shortening of the functional assessment of anorexia cachexia therapy faact questionnaire,2000,2000
11396683,mechanisms of ige elevation in hiv 1 infection,2000,2000
11372072,immigration and health the italian national focal point experience,2000,2000
11371331,imaging in myology a neurologist s perspective,2000,2000
11367923,sexually transmitted diseases among immigrants in italy,2000,2000
11367922,prevention focused on sexual behavior,2000,2000
11367919,current protocols for diagnosis and treatment of sexually transmitted diseases,2000,2000
11367917,legislation in europe and italy for the control of sexually transmitted diseases,2000,2000
11367916,survival in sexually transmitted diseases and hiv infection methodology and data flow,2000,2000
11367604,models of care in new york state medicaid substance abuse clinics range of services and linkages to medical care,2000,2000
12378089,current status of stereotactic biopsy,2001,2001
12324710,effects of different hiv strains on thymic epithelial cultures,2001,2001
12109257,role of aids volunteers in developing community based care for people with aids in thailand,2001,2001
12086091,incidence of pulmonary tuberculosis and hiv coinfection in the province of seville spain 1998,2001,2001
12086085,prevalence of hepatitis b hepatitis c syphilis and hiv in georgian blood donors,2001,2001
12083326,human immunodeficiency virus 1 strains resistant to nucleoside inhibitors of reverse transcriptase in isolates from the czech republic as monitored by line probe assay and nucleotide sequencing,2001,2001
12058586,human immunodeficiency virus hiv co receptors expression in mononuclear leucocytes ml of hiv patients,2001,2001
12041580,protozoan enteric infection in aids related diarrhea in thailand,2001,2001
12028843,guidelines for preventing opportunistic infections among hematopoietic stem cell transplant recipients recommendations of cdc the infectious disease society of america and the american society of blood and marrow transplantation,2001,2001
12003085,embryonic immune development and risks of hiv infection,2001,2001
11987372,universal access to health care if not now when,2001,2001
11984940,drug combination therapy for children infected with hiv aids own experience,2001,2001
11984939,etiology pathogenesis and treatment options in kaposi s sarcoma of hiv infection,2001,2001
11984938,opportunistic infections in hiv positive patients hospitalized in the clinic of infectious diseases amg,2001,2001
11984936,clinical profile of infections caused by opportunistic microorganisms in hiv positive patients own observation,2001,2001
11984935,prophylaxis against opportunistic microorganisms,2001,2001
11980401,katex for the diagnosis of human visceral leishmaniasis,2001,2001
11975020,ophthalmic complications in the course of opportunistic infections part i,2001,2001
11968298,aids public service announcements effects of fear and repetition on predictors of condom use,2001,2001
11962349,systematic review of combination antiretroviral therapy with didanosine plus hydroxyurea a partial solution to africa s hiv aids problem,2001,2001
11958272,cutaneous manifestations of systemic cryptococcosis in immunosupressed patients,2001,2001
11953225,antiretroviral therapy in pregnant women of florence,2001,2001
11949731,determinants of hiv prevalence amongst female idu in madrid,2001,2001
11949726,measures to reduce hiv infection have not been successful to reduce the prevalence of hcv in intravenous drug users,2001,2001
11936874,is decreased hiv 1 infectivity of placental macrophages caused by high levels of beta chemokines,2001,2001
11936872,characterization of hiv isolates from puerto rican maternal infant pairs reveal predominance of non syncytium inducing nsi variants with ccr5 genotype,2001,2001
11930998,human herpesvirus type 8 seroprevalence among patients in immunosuppression state,2001,2001
11930826,in situ hybridization determination of the heterophagocytic origin of type 2b prostate epithelial lipochrome pigment granules histochemical and ultrastructural correlates,2001,2001
11921741,effects of measles vaccination in hiv infected children,2001,2001
11921740,vertical hiv transmission in poland from 1989 2000,2001,2001
11921736,new trends in ocular toxoplasmosis the review,2001,2001
11921735,usefulness of serological assays in diagnosis of early phase of toxoplasma gondii infection,2001,2001
11920253,decreased function of fas in patients displaying delayed progression of hiv induced immune deficiency,2001,2001
11918345,chemokine receptors the next therapeutic target for hiv,2001,2001
11910707,effects of alcohol and hiv infection on the central nervous system,2001,2001
11906086,elisa test to detect human serum antibodies reactive with encephalitozoon intestinalis,2001,2001
11906082,genetic and immunologic characterization of seven encephalitozoon hellem human strains,2001,2001
11906066,population genetic study of the cryptosporidium parvum human genotype parasites,2001,2001
11906063,multilocus genotypic analysis of cryptosporidium meleagridis,2001,2001
